scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	tissue_normalized	tissue_original
Anoplolepis gracilipes	whole body of worker 6	whole_body						yes	yes	no		PRJNA1192054	SAMN45814118	SRX27422367	SRR32073876	SRA2057062	SRS23850721	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker6	RNA was extracted from worker6 by Kapa mRNA library kit			C6_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	29691781	5997739762	2449059164								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:24							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073876/SRR32073876.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073876/SRR32073876	gs://sra-pub-zq-105/SRR32073876/SRR32073876.lite.1	whole_body	whole_body
Anoplolepis gracilipes	whole body of worker 5	whole_body						yes	yes	no		PRJNA1192054	SAMN45814117	SRX27422366	SRR32073877	SRA2057062	SRS23850720	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker5	RNA was extracted from worker5 by Kapa mRNA library kit			C5_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	32879172	6641592744	2696343122								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:23							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073877/SRR32073877.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073877/SRR32073877	gs://sra-pub-zq-105/SRR32073877/SRR32073877.lite.1	whole_body	whole_body
Anoplolepis gracilipes	whole body of worker 3	whole_body						yes	yes	no		PRJNA1192054	SAMN45814115	SRX27422364	SRR32073879	SRA2057062	SRS23850718	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker3	RNA was extracted from worker3 by Kapa mRNA library kit			C3_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	34074050	6882958100	2807845484								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:23							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073879/SRR32073879.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073879/SRR32073879	gs://sra-pub-zq-105/SRR32073879/SRR32073879.lite.1	whole_body	whole_body
Anoplolepis gracilipes	whole body of worker 7	whole_body						yes	yes	no		PRJNA1192054	SAMN45814119	SRX27422359	SRR32073884	SRA2057062	SRS23850713	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker7	RNA was extracted from worker7 by Kapa mRNA library kit			C7_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	35872410	7246226820	2938836572								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:26							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073884/SRR32073884.lite.1	s3://sra-pub-zq-2/SRR32073884/SRR32073884.lite.1	gs://sra-pub-zq-105/SRR32073884/SRR32073884.lite.1	whole_body	whole_body
Anoplolepis gracilipes	whole body of worker 1	whole_body						yes	yes	no		PRJNA1192054	SAMN45814113	SRX27422362	SRR32073881	SRA2057062	SRS23850716	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker1	RNA was extracted from worker1 by Kapa mRNA library kit			C1_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	36106579	7293528958	2987408488								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:24							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073881/SRR32073881.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073881/SRR32073881	gs://sra-pub-zq-105/SRR32073881/SRR32073881.lite.1	whole_body	whole_body
Anoplolepis gracilipes	whole body of worker 4	whole_body						yes	yes	no		PRJNA1192054	SAMN45814116	SRX27422365	SRR32073878	SRA2057062	SRS23850719	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker4	RNA was extracted from worker4 by Kapa mRNA library kit			C4_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	36567304	7386595408	3000466412								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:23							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073878/SRR32073878.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073878/SRR32073878	gs://sra-pub-zq-105/SRR32073878/SRR32073878.lite.1	whole_body	whole_body
Anoplolepis gracilipes	whole body of worker 2	whole_body						yes	yes	no		PRJNA1192054	SAMN45814114	SRX27422363	SRR32073880	SRA2057062	SRS23850717	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker2	RNA was extracted from worker2 by Kapa mRNA library kit			C2_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	41228667	8328190734	3385291228								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:24							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073880/SRR32073880.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073880/SRR32073880	gs://sra-pub-zq-105/SRR32073880/SRR32073880.lite.1	whole_body	whole_body
